SDF assignment March 2019, simulated position coordinate readings
 LZF, 12 Mar 2019
 time/s xMeas/m yMeas/m
00720000 -2466.72 -2534.58
00720060 -2466.04 -2533.45
00720120 -2466.25 -2533.51
00720180 -2464.06 -2533.46
00720240 -2462.84 -2532.57
00720300 -2462.75 -2532.50
00720360 -2461.96 -2532.38
00720420 -2460.56 -2531.97
00720480 -2459.23 -2532.07
00720540 -2457.27 -2531.09
00720600 -2457.61 -2530.91
00720660 -2456.27 -2529.49
00720720 -2453.81 -2528.98
00720780 -2454.24 -2528.91
00720840 -2453.19 -2528.64
00720900 -2452.29 -2528.20
00720960 -2451.56 -2527.78
00721020 -2450.29 -2526.60
00721080 -2449.08 -2526.08
00721140 -2447.55 -2526.33
00721200 -2446.90 -2525.85
00721260 -2446.22 -2525.80
00721320 -2445.27 -2525.06
00721380 -2444.42 -2524.07
00721440 -2443.33 -2524.70
00721500 -2441.81 -2523.31
00721560 -2441.21 -2522.85
00721620 -2440.81 -2522.46
00721680 -2438.62 -2522.09
00721740 -2438.10 -2521.53
00721800 -2437.34 -2521.42
00721860 -2436.96 -2520.54
00721920 -2435.02 -2520.57
00721980 -2434.13 -2520.01
00722040 -2433.44 -2518.87
00722100 -2432.93 -2519.22
00722160 -2431.16 -2519.20
00722220 -2430.23 -2518.04
00722280 -2429.66 -2518.09
00722340 -2428.84 -2518.06
00722400 -2427.19 -2515.71
00722460 -2426.68 -2516.10
00722520 -2425.36 -2516.67
00722580 -2424.66 -2514.07
00722640 -2422.64 -2512.88
00722700 -2422.66 -2511.51
00722760 -2421.99 -2509.66
00722820 -2421.46 -2509.01
00722880 -2420.01 -2508.25
00722940 -2418.80 -2507.23
00723000 -2418.86 -2504.39
00723060 -2417.77 -2504.16
00723120 -2417.68 -2502.16
00723180 -2416.02 -2500.87
00723240 -2414.73 -2499.68
00723300 -2415.03 -2497.64
00723360 -2412.70 -2496.76
00723420 -2412.29 -2495.89
00723480 -2412.01 -2494.89
00723540 -2411.34 -2492.22
00723600 -2410.22 -2490.69
00723660 -2409.28 -2490.00
00723720 -2408.51 -2488.89
00723780 -2409.27 -2489.65
00723840 -2411.49 -2489.92
00723900 -2411.97 -2490.12
00723960 -2413.13 -2490.32
00724020 -2414.96 -2489.97
00724080 -2416.31 -2490.23
00724140 -2417.96 -2491.07
00724200 -2417.99 -2491.22
00724260 -2419.89 -2492.24
00724320 -2421.58 -2491.79
00724380 -2422.34 -2491.99
00724440 -2423.59 -2492.60
00724500 -2423.96 -2493.00
00724560 -2426.32 -2493.67
00724620 -2427.08 -2494.19
00724680 -2428.49 -2494.08
00724740 -2428.72 -2494.55
00724800 -2431.46 -2494.72
00724860 -2432.89 -2495.59
00724920 -2434.59 -2496.17
00724980 -2435.65 -2495.31
00725040 -2437.03 -2496.64
00725100 -2437.47 -2496.24
00725160 -2439.62 -2497.10
00725220 -2439.33 -2497.09
00725280 -2441.80 -2497.81
00725340 -2442.74 -2498.01
00725400 -2443.57 -2497.80
00725460 -2445.47 -2499.04
00725520 -2446.93 -2498.60
00725580 -2447.89 -2497.71
00725640 -2449.38 -2498.06
00725700 -2449.67 -2500.08
00725760 -2451.88 -2499.85
00725820 -2453.00 -2500.45
00725880 -2453.80 -2500.00
00725940 -2455.92 -2500.48
00726000 -2457.70 -2501.12
00726060 -2458.06 -2502.15
00726120 -2459.84 -2502.39
