SDF assignment March 2019, simulated position coordinate readings
 LZF, 12 Mar 2019
 time/s xMeas/m yMeas/m range/m angle/rad
01500000 -4290.41 -6028.79 7398.65 -2.189442
01500060 -4289.72 -6028.58 7399.18 -2.189276
01500120 -4290.04 -6030.46 7399.32 -2.189096
01500180 -4289.15 -6029.92 7400.78 -2.189168
01500240 -4288.84 -6030.65 7400.79 -2.189087
01500300 -4289.01 -6030.48 7400.13 -2.188919
01500360 -4288.71 -6030.69 7400.05 -2.188956
01500420 -4288.68 -6032.03 7401.93 -2.188928
01500480 -4288.79 -6032.65 7401.65 -2.188900
01500540 -4289.43 -6032.58 7401.53 -2.189046
01500600 -4288.33 -6032.50 7401.86 -2.188709
01500660 -4288.47 -6032.94 7400.59 -2.188876
01500720 -4288.22 -6033.96 7403.31 -2.188768
01500780 -4287.57 -6034.29 7401.26 -2.188606
01500840 -4287.13 -6035.29 7402.42 -2.188406
01500900 -4286.75 -6034.29 7401.43 -2.188752
01500960 -4286.34 -6035.71 7402.12 -2.188412
01501020 -4286.60 -6036.33 7404.17 -2.188203
01501080 -4287.06 -6035.73 7402.30 -2.188250
01501140 -4286.46 -6036.51 7402.00 -2.188073
01501200 -4286.47 -6036.09 7404.80 -2.188182
01501260 -4286.25 -6037.08 7403.22 -2.188120
01501320 -4285.28 -6038.00 7404.31 -2.188062
01501380 -4286.23 -6038.72 7403.23 -2.187945
01501440 -4286.12 -6039.15 7403.33 -2.187833
01501500 -4285.80 -6038.65 7404.59 -2.188096
01501560 -4284.86 -6038.70 7405.68 -2.187710
01501620 -4285.51 -6040.69 7405.01 -2.187926
01501680 -4284.66 -6040.26 7406.59 -2.187737
01501740 -4285.10 -6040.55 7403.08 -2.187652
01501800 -4283.55 -6040.06 7404.59 -2.187699
01501860 -4284.01 -6041.16 7404.93 -2.187488
01501920 -4283.73 -6041.90 7407.29 -2.187529
01501980 -4283.82 -6042.31 7406.66 -2.187417
01502040 -4283.93 -6043.02 7406.05 -2.187460
01502100 -4283.96 -6042.40 7408.75 -2.187406
01502160 -4282.13 -6041.97 7406.64 -2.187299
01502220 -4282.45 -6043.20 7407.70 -2.187314
01502280 -4281.99 -6044.30 7407.94 -2.187295
01502340 -4282.07 -6044.88 7410.17 -2.187144
01502400 -4282.22 -6044.81 7408.08 -2.187169
01502460 -4282.34 -6045.31 7409.23 -2.186987
01502520 -4282.98 -6044.95 7407.49 -2.186889
01502580 -4281.73 -6046.27 7408.82 -2.186924
01502640 -4281.54 -6046.29 7408.50 -2.186882
01502700 -4280.25 -6048.07 7410.96 -2.186807
01502760 -4281.02 -6046.91 7411.03 -2.186990
01502820 -4279.93 -6047.65 7408.60 -2.186879
01502880 -4280.15 -6048.52 7408.85 -2.186481
01502940 -4280.29 -6048.09 7409.87 -2.186566
